Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
600706570124933,Verkehrssanierungen JA,Komitee Verkehrssanierungen JA,1915,53
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,1727,47
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,1556,25
112750821712602,Ruedi Hug als Bezirksrichter,Rudolf Hug,1515,10
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1444,32
103915262545181,KMU geprüft,KMU geprüft,1302,167
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,1203,2
104068392569671,Nein zum Stadtparlament Rapperswil-Jona,"Komitee «NEIN zur neuen Gemeindeordnung, NEIN zum Stadtparlament»",1144,15
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,1090,5
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,1063,28
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,1040,14
260591187302640,Parti socialiste genevois,Parti socialiste genevois,928,14
103816695962630,Non à l'initiative «Zéro Pub»,Comité référendaire NON à Zéro Pub,722,11
1562216347422974,Esther Friedli,Esther Friedli,650,15
1534982756793690,Foodvisor,These ads ran without a disclaimer,648,6
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,577,34
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,405,6
75338704887,Fondation Franz Weber,Fondation Franz Weber,387,1
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,350,1
36735923253,umverkehR,umverkehR,346,3
106252468372887,Isabelle Chassot,Isabelle Chassot,328,9
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,328,8
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,328,7
109889895328694,Megastrassen 2 x NEIN,Komitee gegen Megastrassen,310,6
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,308,11
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,307,2
463645587339110,Piero Marchesi,Piero Marchesi,266,7
269029886456205,Giorgio Fonio,Giorgio Fonio,261,3
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,261,3
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,256,2
107761668882945,Schluss mit Parteipäckli,Überparteiliches Abstimmungskomitee «Schluss mit Parteipäckli – Ja zum Gegenvorschlag» (Die Mitte Schwyz),251,2
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,229,8
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,208,10
169510248558,Die Mitte - Le Centre,Die Mitte,206,6
108839758430779,Association des habitants du quartier de la Bourgogne,Association des habitants du quartier de Bourgogne,181,9
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,176,5
1524954517562834,Prominis,Prominis GmbH,169,4
375986103269875,Nationalrätin Franziska Ryser,GRÜNE SG,169,7
251838211585945,SP Basel-Stadt,SP Basel-Stadt,165,9
109851415363558,Energiezukunft Chur,Überparteiliches Komitee für eine eigenständige und nachhaltige Energiezukunft Chur,165,7
122819208305170,Sauvegarde Genève,Sauvegarde Genève,158,6
102014399307738,Direkt,direkt,156,3
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,150,4
